stop_id,stop_code,stop_name,stop_lat,stop_lon
"6202111270","6202111270","Carlos Wiederhold y Malvinas Argentinas",-41.163450,-71.311000
"6202121110","6202121110","Carlos Wiederhold y Malvinas Argentinas",-41.163435,-71.310918
"620213706","620213706","Cacique Prafil y Ñancu Lahuen",-41.163160,-71.328583
"620213855","620213855","Cacique Prafil y Ñancu Lahuen",-41.163110,-71.328507
"620211829","620211829","Av. Juan Herman y Coiron",-41.163110,-71.319300
"6202120020","6202120020","Cacique Huicaleo y Cap. Fernando Casado",-41.163050,-71.343142
"620215054","620215054","Soldado Olavarría y Diego Neil",-41.163020,-71.318720
"620214404","620214404","Acceso a Cerro Catedral - Portal Antiguo",-41.163017,-71.435357
"620211842","620211842","Crucero Gral. Belgrano y Chimango",-41.162960,-71.345020
"620212219","620212219","Diego Neil y Soldado Olavarría",-41.162930,-71.318750
"620214521","620214521","Acceso a Cerro Catedral - Portal Antiguo",-41.162823,-71.435270
"620210540","620210540","RP 82 Km.4.900",-41.162792,-71.406513
"620213843","620213843","Charcao y Cacique Chocori",-41.162545,-71.323107
"620213720","620213720","Charcao y Cacique Chocori",-41.162500,-71.323155
"6202137230","6202137230","Av. Juan Herman y Soldado Olavarría",-41.162488,-71.318852
"620211843","620211843","Crucero Gral. Belgrano y Cacique Prayel",-41.162212,-71.345632
"6202119010","6202119010","Crucero Gral. Belgrano y Cacique Prayel",-41.162120,-71.345698
"620213711","620213711","Cacique Casimiro y Pil Pil Voqui",-41.162110,-71.334880
"6202142030","6202142030","Rivadavia y Robles Pellin",-41.162027,-71.297217
"6202119030","6202119030","Cacique Prayel y Crucero Gral. Belgrano",-41.161937,-71.345593
"620215043","620215043","Balcón Gutiérrez y Pque. Nac. Arrayanes",-41.161660,-71.414830
"620215042","620215042","Balcón Gutiérrez y Pque. Nac. Arrayanes",-41.161602,-71.414462
"620214107","620214107","Rivadavia y Robles Pellin",-41.161565,-71.296968
"6202119020","6202119020","Siempre Viva y Canario",-41.161498,-71.344255
"620213710","620213710","Cacique Casimiro y Pico",-41.161415,-71.333672
"620215014","620215014","Ñancu Lahuen y Cacique Nahuel",-41.161398,-71.330240
"620210604","620210604","Dirección desconocida",-41.161368,-71.413103
"620213851","620213851","Cacique Casimiro y Pico",-41.161357,-71.333587
"620210602","620210602","Dirección desconocida",-41.161332,-71.412907
"620213707","620213707","Ñancu Lahuen y Cacique Nahuel",-41.161325,-71.330327
"620210401","620210401","Balcón Gutiérrez y P. Nac. Perito Moreno",-41.161182,-71.411703
"620213712","620213712","Pil Pil Voqui y San Cayetano",-41.161167,-71.336328
"620213850","620213850","Pil Pil Voqui y San Cayetano",-41.161165,-71.336330
"620213844","620213844","Charcao y Cacique Prafil",-41.160902,-71.325068
"620213719","620213719","Charcao y Cacique Prafil",-41.160820,-71.325170
"620212207","620212207","Centro Comunitario Barrio Omega",-41.160810,-71.312440
"6202111280","6202111280","Centro Comunitario Barrio Omega",-41.160760,-71.312420
"620213852","620213852","Cacique Casimiro y Llanten",-41.160745,-71.332675
"6202121120","6202121120","Centro Comunitario Barrio Omega",-41.160740,-71.312280
"620213709","620213709","Cacique Casimiro y Llanten",-41.160683,-71.332588
"620214204","620214204","Ingreso B° Vivero",-41.160522,-71.296732
"6202141060","6202141060","Ingreso B° Vivero",-41.160438,-71.296467
"620213853","620213853","Ñancu Lahuen y Cacique Casimiro",-41.160367,-71.331463
"620213708","620213708","Ñancu Lahuen y Cacique Casimiro",-41.160293,-71.331552
"620210326","620210326","Monumento Natural Bosque Petrificado S/N",-41.160270,-71.410227
"620210402","620210402","Balcón Gutiérrez",-41.160268,-71.410227
"620215044","620215044","Pque. Nac. Nahuel Huapi y Pque. Nac. Lihuel Calel",-41.159998,-71.416700
"620213713","620213713","San Cayetano y Paico",-41.159977,-71.335245
"620213849","620213849","San Cayetano y Paico",-41.159932,-71.335185
"620211319","620211319","Av. Juan Herman - Rotonda ",-41.159740,-71.316058
"620214105","620214105","Rivadavia - Adeful",-41.159650,-71.297060
"6202142050","6202142050","Rivadavia - Adeful",-41.159648,-71.297060
